cohort,method_id,stage,modality,fold_type,n_donors,auc,sha256_oof,status
GSE135779,donor_expression_pca,reproduce,expression,authoritative_primary,44,0.9146,aa4e403e5251d3f637b44f1021e68273ed7734591930207db6ff1e117ef1bcbe,COMPLETED
GSE135779,donor_mean_hvg,reproduce,expression,authoritative_primary,44,0.8926,9d8e117b7e4b266d6154b073444e4f084302e0475c235f85d965adbf7de85475,COMPLETED
GSE135779,geneformer_mean,reproduce,geneformer,authoritative_primary,44,0.9256,a8054151117e7c82d78f4e3fd5e5551d3c4b1d1da5ca141cad967120e7032e9b,COMPLETED
GSE135779,isg_scalar,reproduce,expression,authoritative_primary,44,0.8678,41f9e368e669b3e8265dd647b6e32e9aef5ee692d56cb3d0152c5f95adcd3a81,COMPLETED
GSE135779,isg_vector,reproduce,expression,authoritative_primary,44,0.876,2520d33566df558eaa39ab3a486d25a5203b8c06c618a0afbee775cd140d25e1,COMPLETED
GSE135779,raw_pseudobulk,reproduce,expression,authoritative_primary,44,0.9725,55e16941f390de27bd614c057dba1e37cbd14a1b5d3cbbbe431e2a4b893e70ac,COMPLETED
GSE135779,scgpt_mean,reproduce,scgpt,authoritative_primary,44,0.8457,ac6871ef17bc9646e5f986821e8d8e446254363aa97c70b05906fa17062dc673,COMPLETED
GSE135779,kme_multiscale__geneformer,benchmark_fixed,geneformer,authoritative_primary,44,0.8926,d49be98ca8907e2508f643ba6c47c046978ac190877a931d701e0d1f251e2116,COMPLETED
GSE135779,kme_multiscale__scgpt,benchmark_fixed,scgpt,authoritative_primary,44,0.8733,b472c3426742cf3c662baa16c7443a52027b36547e36cb9102e5a33a2adb14a3,COMPLETED
GSE135779,moments_mean_var__geneformer,benchmark_fixed,geneformer,authoritative_primary,44,0.9421,5016944995db306aa6a33dab8284eb4dc4bdc6483b2c0d5b1f972fa723f2700a,COMPLETED
GSE135779,moments_mean_var__scgpt,benchmark_fixed,scgpt,authoritative_primary,44,0.9256,01d177d94f85a9b7db2e5aeb72941669099e3bb8ac5c589c40620553e6b694d7,COMPLETED
GSE135779,prototype_histogram__geneformer,benchmark_fixed,geneformer,authoritative_primary,44,0.9421,fafbf1a58d4339669c169a319b6cb5a8c593ba9a10107e37a89da7a4d45b6e7c,COMPLETED
GSE135779,prototype_histogram__scgpt,benchmark_fixed,scgpt,authoritative_primary,44,0.9091,fc0bacff067476a72e02a64a7cd2a4da888d2f717201bec593d70ea17cc7614f,COMPLETED
GSE135779,quantiles__geneformer,benchmark_fixed,geneformer,authoritative_primary,44,0.9174,31bba32caefded310b8a16fc7319bd8a70a14606bbb082b7be5ebe14d7f564d3,COMPLETED
GSE135779,quantiles__scgpt,benchmark_fixed,scgpt,authoritative_primary,44,0.9091,98de9f0edd4a9a1b42fd1a1771f851a1a6336e43a6b0939a4d7a287c6326223f,COMPLETED
GSE135779,tail_fractions__geneformer,benchmark_fixed,geneformer,authoritative_primary,44,0.9614,658d8fb4ab77765ff3c8b6b3825d3616b4ea4512f98c729837c9b7ba38290705,COMPLETED
GSE135779,tail_fractions__scgpt,benchmark_fixed,scgpt,authoritative_primary,44,0.9091,4e2d4b76f2619c68b2a6e4c928c87c9a117af6c7b35e3c2d2ce274bbd2806ce4,COMPLETED
GSE135779,cckme_u__geneformer,originals,geneformer,authoritative_primary,44,0.9036,f99b96eaf22ad46e34ec195cdb77c4293c0b9438038a3704271d554476341e4d,COMPLETED
GSE135779,cckme_u__scgpt,originals,scgpt,authoritative_primary,44,0.9174,746766c2eb6339ffe3b9a6718414666570596ee3912d074bcd6658a9da9a0047,COMPLETED
GSE135779,focus_lite__geneformer,originals,geneformer,authoritative_primary,44,0.9614,07a60aba589cd79c7657c8f013b7fdff57b4d8d2bb432d94be5ac619d8e32eed,COMPLETED
GSE135779,focus_lite__scgpt,originals,scgpt,authoritative_primary,44,0.9669,81f13c2ef13d6e46ef1c9972539c3d8af9bcd211bd71b7ba1a66d353c83020c6,COMPLETED
GSE135779,red__geneformer,originals,geneformer,authoritative_primary,44,0.9642,77a9e630b90be345885e156bcdbbf0a0be4b58a64b5e6e094e91ff83c280be17,COMPLETED
GSE135779,red__scgpt,originals,scgpt,authoritative_primary,44,0.9559,17843228799d7edd0bfc8320ebf1a7a4054eac0e5184599c8a23db0ae20bcb59,COMPLETED
GSE135779,uder_kme__scgpt,originals,scgpt,authoritative_primary,44,0.8981,ca44c4987f0c07fa4f9b962b87e8cd3fdfc0e9b877f82818fa89b0278dcad46b,COMPLETED
GSE135779,uder_meanvar__scgpt,originals,scgpt,authoritative_primary,44,0.8044,f0efd24c3bee08d1c611a4e7dff3b6e67a5700c057d80a0c9fc70de68bfcee71,COMPLETED
GSE285773,donor_expression_pca,benchmark_fixed,expression,amendment,26,0.9688,2285fdf37d69a39dff1f42bb1b53512fe30f966294e00a83473003c583466591,COMPLETED
GSE285773,donor_mean_hvg,benchmark_fixed,expression,amendment,26,0.9625,36d9bb5580d40b6ef7c94051c3c87a69f893f607de837a187b6387dd9849bf86,COMPLETED
GSE285773,isg_scalar,benchmark_fixed,expression,amendment,26,0.9312,acb26153757d5b0a9d067795464bce5eb7fb436d691122cd8d9afeb874523abe,COMPLETED
GSE285773,isg_vector,benchmark_fixed,expression,amendment,26,0.9,019b3054a09be50a6c58c780a357f506d94241ba6144ac17329f2f3455d65744,COMPLETED
GSE285773,kme_multiscale__scgpt,benchmark_fixed,scgpt,amendment,26,0.8625,928e59ccd53b3328e7254b103271787b5d301d75fdbba31a03caea40ff18ad6a,COMPLETED
GSE285773,moments_mean_var__scgpt,benchmark_fixed,scgpt,amendment,26,0.8188,8857b17a22f631d127481c9abc658d8305f99f87bb544dfdf511ccfd4784900a,COMPLETED
GSE285773,prototype_histogram__scgpt,benchmark_fixed,scgpt,amendment,26,0.8688,c0e394fb441f0de64a04b2e6e666a82029aa3586c0ebfc6083b8fe1fc36fc501,COMPLETED
GSE285773,quantiles__scgpt,benchmark_fixed,scgpt,amendment,26,0.8125,80ace7db7c1c421de952336c68f333c624dbb0dbd5aef97ebca9fa1ad9cb1176,COMPLETED
GSE285773,raw_pseudobulk,benchmark_fixed,expression,amendment,26,0.9562,385bed97e306b32d39638979e498b73479dc35ad9ab7afe03a4e52457ec8b479,COMPLETED
GSE285773,scgpt_mean,benchmark_fixed,scgpt,amendment,26,0.925,4220fe8c02a9e003d0c89a8a572724030e8af802b78a5311b476ed2d3d7b7d52,COMPLETED
GSE285773,tail_fractions__scgpt,benchmark_fixed,scgpt,amendment,26,0.7812,6c667c97dcec009cb794f0dfd16ebe728e4746228e96a6a6d35323a7dd270533,COMPLETED
GSE174188_CD4,donor_expression_pca,reproduce,expression,authoritative_primary,261,0.9857,1c8e76dd0794018631dd20c3a939bbd0abe27a0c3112bc90790dbcaa0f129861,COMPLETED
GSE174188_CD4,donor_mean_hvg,reproduce,expression,authoritative_primary,261,0.984,03f1750240d38029a554ab365c6ed2c7da124c897f5205e4438344c726749f87,COMPLETED
GSE174188_CD4,isg_scalar,reproduce,expression,authoritative_primary,261,,6f90ef7fe9703a77cc7e345108987a2bd6b7c9ec4315411ec53e4166c4a0e765,COMPLETED_NAN_AUC
GSE174188_CD4,isg_vector,reproduce,expression,authoritative_primary,261,,e4f993890f67a911d58ffaabd308dfa6f314058f35af7f9771535a938decdbdc,COMPLETED_NAN_AUC
GSE174188_CD4,raw_pseudobulk,reproduce,expression,authoritative_primary,261,0.9879,03de1ca15a1dd1f5d0a0c30a36e46a0c77553070e12db546904d429a03d54067,COMPLETED
GSE174188_CD4,scgpt_mean,reproduce,scgpt,authoritative_primary,261,0.9784,40454ba1a6f4b624fb62378e3e816ccd7e0d5bbd49201a851130caaacaf20d5e,COMPLETED
GSE174188_CD4,kme_multiscale__scgpt,benchmark_fixed,scgpt,authoritative_primary,261,0.9779,15c2a8a03ea9498872030b4fafda6f2da59f0888554a4687ca9899a9f8daa685,COMPLETED
GSE174188_CD4,moments_mean_var__scgpt,benchmark_fixed,scgpt,authoritative_primary,261,0.9666,02b631077ad70751576fcfd71cbf32cc95a148053c138765013a554d024819c3,COMPLETED
GSE174188_CD4,prototype_histogram__scgpt,benchmark_fixed,scgpt,authoritative_primary,261,0.9468,b7214b9a81fc706df6a7f4751f836bc09e149f753dca152c376783a41ce010ca,COMPLETED
GSE174188_CD4,quantiles__scgpt,benchmark_fixed,scgpt,authoritative_primary,261,0.9602,29a7f0aa920558cac5eadc228c7c7d1b1d946623d61da595bf030e020dc6285d,COMPLETED
GSE174188_CD4,tail_fractions__scgpt,benchmark_fixed,scgpt,authoritative_primary,261,0.9622,10a3e61d9d46878326cb66b7610f203b6bf8db1cb0802c50c8bd70e6b36119ab,COMPLETED
GSE174188_CD4,cckme_u,originals,scgpt,authoritative_primary,261,0.9696,6f019a492fe3d2f3ddf5a81658c6a9ac98dbf38ee75c609a786989c602566b13,COMPLETED
GSE174188_CD4,cckme_u__scgpt,originals,scgpt,authoritative_primary,261,0.9696,a370402ddfd1feccd9b2f22a7be5f1b290629fe95f4ce89ab9e8cc450a0783f0,COMPLETED
GSE174188_CD4,cckme_u_weighted,originals,scgpt,authoritative_primary,261,0.9698,29818e8f2c58188e753bae2b862b5a6ccf2c95a06f5f45ebf434ce221421e34e,COMPLETED
GSE174188_CD4,donorclr,originals,expression,authoritative_primary,261,0.9355,8d7162e2653c3c09b794b3d6d87cc1c7492639e43f668ae31dbf2b7d88147386,COMPLETED
GSE174188_CD4,focus_lite,originals,scgpt,authoritative_primary,261,0.9579,4bf65d67c4ace8587ccda223f4c305e60a397ac210950e9638ccad6617d73254,COMPLETED
GSE174188_CD4,focus_lite__scgpt,originals,scgpt,authoritative_primary,261,0.9579,03521c0389fdbcd60eec9f9ecd9ea78e700ef95bac0b157d2d7b127d38a5561d,COMPLETED
GSE174188_CD4,gds,originals,expression,authoritative_primary,261,0.9464,49fe56e6d57cca0d192754d5638f4896db972670815542e39626eedc02f01aa5,COMPLETED
GSE174188_CD4,red,originals,scgpt,authoritative_primary,261,0.9393,15829a7acb2ed0529465e50cc02d689e783df7421665bf909c261d6f11d6adeb,COMPLETED
GSE174188_CD4,red__scgpt,originals,scgpt,authoritative_primary,261,0.9393,7a5c265d7b85dfa1eeec45709f79352994816cdfed2de75545e6fe442c4ce6f8,COMPLETED
GSE174188_CD4,uder_kme__scgpt,originals,scgpt,authoritative_primary,261,0.5652,9902a214c026d382362f137b2ea5de7883e520451ab31ca87d7436a3083a394b,COMPLETED
GSE174188_CD4,uder_meanvar__scgpt,originals,scgpt,authoritative_primary,261,0.5524,da50285322054ac19d82cfcdb960caf50e87f93945daa3fd281b3adce4b0cfcc,COMPLETED
